ID;Ürün Adı;Fiyat (EUR);Marka;Kategori;Kategori Kodu;Ürün Kodu;Spec: displacement_cm3
462;Frigocraft EA-350AD6-A01-K-S Split Ch. İç Ün. - R;3199.98;FrigoCraft;Evaporatörler;evaporator;86.90.954;
463;Frigocraft EA-250AE6-A03-K-S Split Cihaz İç Ünitesi;2312.70;FrigoCraft;Evaporatörler;evaporator;86.90.598;
464;Frigocraft EA-350AD6-A03-K-S Split Ch. İç Ün.;2862.34;FrigoCraft;Evaporatörler;evaporator;86.90.977;
465;Frigocraft EA-350AD6-A01-K-S Split Ch. İç Ün.;3199.98;FrigoCraft;Evaporatörler;evaporator;86.90.954;
466;CUBIGEL L22HL (R134A LBP);75.00;Cubigel;Kompresörler;compressor;LF3070363;2.2
467;CUBIGEL L30HL (R134A LBP);99.00;Cubigel;Kompresörler;compressor;LF3070371;3.1
468;CUBIGEL B43H (R134A LBP);129.00;Cubigel;Kompresörler;compressor;LF3070370;4.3
469;CUBIGEL GL60AA (R134A LBP);95.00;Cubigel;Kompresörler;compressor;605197;6.0
470;CUBIGEL GL80AA (R134A LBP);105.00;Cubigel;Kompresörler;compressor;605062;8.1
471;CUBIGEL GL90AA (R134A LBP);115.00;Cubigel;Kompresörler;compressor;605185;9.1
472;CUBIGEL GL99AA (R134A LBP);125.00;Cubigel;Kompresörler;compressor;LF3070198;10.0
473;CUBIGEL B30G (R134A HMBP);95.00;Cubigel;Kompresörler;compressor;LF3070364;3.1
474;CUBIGEL B35GL (R134A HMBP);110.00;Cubigel;Kompresörler;compressor;LF3070368;3.5
475;CUBIGEL B38G (R134A HMBP);120.00;Cubigel;Kompresörler;compressor;605282;3.8
476;CUBIGEL GU45TG (R134A HMBP);115.00;Cubigel;Kompresörler;compressor;605012;4.5
477;CUBIGEL GL60TB (R134A HMBP);110.00;Cubigel;Kompresörler;compressor;605007;5.7
478;CUBIGEL GL80TB (R134A HMBP);118.00;Cubigel;Kompresörler;compressor;605008;7.6
479;CUBIGEL GL90TB (R134A HMBP);124.88;Cubigel;Kompresörler;compressor;605009;8.8
480;CUBIGEL GLY12RAa (R134A HMBP);90.00;Cubigel;Kompresörler;compressor;605312;10.7
481;CUBIGEL GP14TB (R134A HMBP);126.83;Cubigel;Kompresörler;compressor;605011;14.0
482;CUBIGEL GP16TB (R134A HMBP);131.00;Cubigel;Kompresörler;compressor;605170;16.0
483;CUBIGEL GX18TB (R134A HMBP);238.70;Cubigel;Kompresörler;compressor;605182;18.4
484;CUBIGEL (R134A HMBP);115.00;Cubigel;Kompresörler;compressor;LF3070084;
485;CUBIGEL GX23TB (R134A HMBP);270.00;Cubigel;Kompresörler;compressor;605212;23.2
486;CUBIGEL GS26TB (R134A HMBP);320.00;Cubigel;Kompresörler;compressor;LF3070085;25.9
487;CUBIGEL GS34TB (R134A HMBP);395.00;Cubigel;Kompresörler;compressor;605211;34.4
488;CUBIGEL ML60FB (R404A/R507 LBP);74.90;Cubigel;Kompresörler;compressor;LF3070041;6.0
489;CUBIGEL ML80FB (R404A/R507 LBP);80.70;Cubigel;Kompresörler;compressor;605207;8.1
490;CUBIGEL ML90FB (R404A/R507 LBP);128.56;Cubigel;Kompresörler;compressor;605176;8.8
491;CUBIGEL MLY90LAa (R404A/R507 LBP);95.00;Cubigel;Kompresörler;compressor;LF3070366;9.1
492;CUBIGEL MLY12LAa (R404A/R507 LBP);105.00;Cubigel;Kompresörler;compressor;605278;10.7
493;CUBIGEL MPT12LA (R404A/R507 LBP);95.00;Cubigel;Kompresörler;compressor;LF3070213;12.1
494;CUBIGEL MP14FB (R404A/R507 LBP);98.10;Cubigel;Kompresörler;compressor;605073;14.0
495;CUBIGEL MPT14LA (R404A/R507 LBP);103.70;Cubigel;Kompresörler;compressor;605307;14.3
496;CUBIGEL MPT16LA (R404A/R507 LBP);109.50;Cubigel;Kompresörler;compressor;LF3070279;16.1
497;CUBIGEL MX18FBa (R404A/R507 LBP);181.80;Cubigel;Kompresörler;compressor;605127;18.4
498;CUBIGEL MX21FBa (R404A/R507 LBP);200.00;Cubigel;Kompresörler;compressor;605075;20.7
499;CUBIGEL MX23FBa (R404A/R507 LBP);220.00;Cubigel;Kompresörler;compressor;605180;23.2
500;CUBIGEL MS26FB (R404A/R507 LBP);350.00;Cubigel;Kompresörler;compressor;LF3070035;1.2
501;CUBIGEL ML40TB (R404A/R507 HMBP);95.00;Cubigel;Kompresörler;compressor;605020;4.0
502;CUBIGEL ML45TB (R404A/R507 HMBP);100.00;Cubigel;Kompresörler;compressor;605068;4.5
503;CUBIGEL ML60TB (R404A/R507 HMBP);110.00;Cubigel;Kompresörler;compressor;605013;5.7
504;CUBIGEL ML80TB (R404A/R507 HMBP);125.00;Cubigel;Kompresörler;compressor;605014;7.6
505;CUBIGEL ML90TB (R404A/R507 HMBP);134.71;Cubigel;Kompresörler;compressor;605028;8.85
506;CUBIGEL MPT12RA (R404A/R507 HMBP);106.00;Cubigel;Kompresörler;compressor;605310;12.1
507;CUBIGEL MPT14RA (R404A/R507 HMBP);110.00;Cubigel;Kompresörler;compressor;605067;14.3
508;CUBIGEL MX18TBa (R404A/R507 HMBP);185.00;Cubigel;Kompresörler;compressor;605072;18.4
509;CUBIGEL MX21TBa (R404A/R507 HMBP);210.00;Cubigel;Kompresörler;compressor;605093;20.7
510;CUBIGEL MS26TB (R404A/R507 HMBP);365.00;Cubigel;Kompresörler;compressor;605071;1.2
511;CUBIGEL MS34TB (R404A/R507 HMBP);395.00;Cubigel;Kompresörler;compressor;LF3070065;1.5
512;CUBIGEL NUY45LAa (R290 LBP);95.00;Cubigel;Kompresörler;compressor;605361;4.5
513;CUBIGEL NUT55CAc (R290 LBP);105.00;Cubigel;Kompresörler;compressor;605355;5.5
514;CUBIGEL NUT60CAa (R290 LBP);110.00;Cubigel;Kompresörler;compressor;605358;6.0
515;CUBIGEL NUY80LA_A 1/3 (R290 LBP);120.00;Cubigel;Kompresörler;compressor;LF3070514;8.10
516;CUBIGEL NLY90LAa (R290 LBP);125.00;Cubigel;Kompresörler;compressor;605364;9.09
517;CUBIGEL NLY12LAa (R290 LBP);135.00;Cubigel;Kompresörler;compressor;605363;10.70
518;CUBIGEL NUY120NA (R290 LBP);145.00;Cubigel;Kompresörler;compressor;LF3070509;12.50
519;CUBIGEL NPY14LAa (R290 LBP);155.00;Cubigel;Kompresörler;compressor;605367;14.32
520;CUBIGEL NPT16LA (R290 LBP);110.00;Cubigel;Kompresörler;compressor;LF5134815;16.15
521;CUBIGEL NPT18LA (R290 LBP);115.00;Cubigel;Kompresörler;compressor;LF5164642;18.0
522;CUBIGEL NX23FBa (R290 LBP);230.00;Cubigel;Kompresörler;compressor;LF3070512;23.20
523;CUBIGEL NST26NA_T (R290 LBP);320.00;Cubigel;Kompresörler;compressor;LF3070513;25.93
524;CUBIGEL NBC30RA (R290 HMBP);90.00;Cubigel;Kompresörler;compressor;605365;3.10
525;CUBIGEL NUY45RAa (R290 HMBP);100.00;Cubigel;Kompresörler;compressor;605356;4.50
526;CUBIGEL NUY60RAa (R290 HMBP);115.00;Cubigel;Kompresörler;compressor;605366;6.00
527;CUBIGEL NUY80RAa 1/3 (R290 HMBP);125.00;Cubigel;Kompresörler;compressor;605362;8.10
528;CUBIGEL NLY12RAa (R290 HMBP);135.00;Cubigel;Kompresörler;compressor;LF3070508;10.70
529;CUBIGEL NPY12RAa (R290 HMBP);140.00;Cubigel;Kompresörler;compressor;605360;12.10
530;CUBIGEL NPT14RA (R290 HMBP);110.00;Cubigel;Kompresörler;compressor;605357;14.32
531;CUBIGEL NPT16RA (R290 HMBP);115.00;Cubigel;Kompresörler;compressor;LF3070510;16.10
532;CUBIGEL NX18TBa (R290 HMBP);185.00;Cubigel;Kompresörler;compressor;LF5156331;18.40
533;CUBIGEL NX21TBa (R290 HMBP);210.00;Cubigel;Kompresörler;compressor;LF3070511;20.72
534;EMBRACO NE2130Z (R134A LBP);201.18;Embraco;Kompresörler;compressor;LF5063911;12.11
535;EMBRACO NE2134Z (R134A LBP);195.00;Embraco;Kompresörler;compressor;605265;14.28
536;EMBRACO NEK2140Z (R134A LBP);210.00;Embraco;Kompresörler;compressor;LF7119817;16.80
537;EMBRACO EMIE30HER (R134A LBP) - 1/12;75.00;Embraco;Kompresörler;compressor;LF3070290;
538;EMBRACO EMY3109Z (R134A LBP);85.00;Embraco;Kompresörler;compressor;605017;3.97
539;EMBRACO EMY3111Z (R134A LBP);90.00;Embraco;Kompresörler;compressor;605313;4.53
540;EMBRACO EMY3115Z (R134A LBP);95.00;Embraco;Kompresörler;compressor;605314;6.09
541;EMBRACO LF3070342 EMIE65HER 1/6 (R134A LBP);95.00;Embraco;Kompresörler;compressor;;
542;EMBRACO (R134A LBP);133.73;Embraco;Kompresörler;compressor;LF3070231;
543;EMBRACO EM30HHR (R134A MBP);95.00;Embraco;Kompresörler;compressor;LF3070281;3.0
544;EMBRACO EM45HHR (R134A MBP);105.00;Embraco;Kompresörler;compressor;LF3070282;3.8
545;EMBRACO EM55HHR (R134A MBP);115.00;Embraco;Kompresörler;compressor;LF5029895;4.6
546;EMBRACO EM65HHR (R134A MBP);125.00;Embraco;Kompresörler;compressor;605016;5.5
547;EMBRACO EGAS100HLR (R134A MBP);105.00;Embraco;Kompresörler;compressor;LF5037602;7.9
548;EMBRACO FFI8.5HAK (R134A MBP);115.00;Embraco;Kompresörler;compressor;LF3070286;7.2
549;EMBRACO FFI10HAK (R134A MBP);125.00;Embraco;Kompresörler;compressor;LF3070287;9.1
550;EMBRACO FFI12HBK (R134A MBP);135.00;Embraco;Kompresörler;compressor;605244;11.1
551;EMBRACO EMT37HDP (R134A HMBP);95.00;Embraco;Kompresörler;compressor;LF3070229;3.40
552;EMBRACO EMT45HDR (R134A HMBP);100.00;Embraco;Kompresörler;compressor;605086;3.97
553;EMBRACO EMT50HDP (R134A HMBP);105.00;Embraco;Kompresörler;compressor;605181;4.50
554;EMBRACO EMT6144Z (R134A HMBP);98.00;Embraco;Kompresörler;compressor;605166;5.20
555;EMBRACO EMT6160Z (R134A HMBP);100.00;Embraco;Kompresörler;compressor;605189;6.76
556;EMBRACO NEK6160Z (R134A HMBP);115.00;Embraco;Kompresörler;compressor;605308;7.28
557;EMBRACO EMT6170Z (R134A HMBP);102.00;Embraco;Kompresörler;compressor;605135;7.69
558;EMBRACO NEK6170Z (R134A HMBP);118.00;Embraco;Kompresörler;compressor;605001;8.40
559;EMBRACO NEK6187Z (R134A HMBP);125.00;Embraco;Kompresörler;compressor;605209;10.00
560;EMBRACO NEK6210Z (R134A HMBP);130.00;Embraco;Kompresörler;compressor;605208;12.12
561;EMBRACO NEU6210Z (R134A HMBP);135.00;Embraco;Kompresörler;compressor;605263;12.12
562;EMBRACO NEK6212Z (R134A HMBP);140.00;Embraco;Kompresörler;compressor;605210;14.30
563;EMBRACO NEU6212Z (R134A HMBP);145.00;Embraco;Kompresörler;compressor;LF3070327;14.30
564;EMBRACO NEK6214Z (R134A HMBP);150.00;Embraco;Kompresörler;compressor;605237;16.80
565;EMBRACO NEU6214Z (R134A HMBP);210.00;Embraco;Kompresörler;compressor;LF3070328;16.80
566;EMBRACO NT6215Z (R134A HMBP);210.00;Embraco;Kompresörler;compressor;605079;17.40
567;EMBRACO NT6217Z (R134A HMBP);210.00;Embraco;Kompresörler;compressor;LF3070179;20.40
568;EMBRACO NT6220Z (R134A HMBP);210.00;Embraco;Kompresörler;compressor;LF3070180;22.40
569;EMBRACO NJ6220Z (R134A HMBP);210.00;Embraco;Kompresörler;compressor;605254;26.20
570;EMBRACO NJ6220ZX (R134A HMBP);210.00;Embraco;Kompresörler;compressor;LF3070053;26.20
571;EMBRACO NJ6226Z (R134A HMBP);210.00;Embraco;Kompresörler;compressor;605175;34.37
572;EMBRACO NJ6226ZX (R134A HMBP);210.00;Embraco;Kompresörler;compressor;LF3070054;34.37
573;EMBRACO EMT2117GK (R404A/R507 LBP);105.00;Embraco;Kompresörler;compressor;LF3070230;4.50
574;EMBRACO EMT2121GK (R404A/R507 LBP);98.00;Embraco;Kompresörler;compressor;605213;5.20
575;EMBRACO NEK2121GK (R404A/R507 LBP);125.00;Embraco;Kompresörler;compressor;LF3070163;5.45
576;EMBRACO EMT2125GK (R404A/R507 LBP);95.00;Embraco;Kompresörler;compressor;605206;5.96
577;EMBRACO NEK2125GK (R404A/R507 LBP);95.00;Embraco;Kompresörler;compressor;LF3070164;6.20
578;EMBRACO EMT2130GK (R404A/R507 LBP);100.00;Embraco;Kompresörler;compressor;605264;6.76
579;EMBRACO NEK2130GK (R404A/R507 LBP);115.00;Embraco;Kompresörler;compressor;605334;7.40
580;EMBRACO NEK2134GK (R404A/R507 LBP);125.00;Embraco;Kompresörler;compressor;605152;8.78
581;EMBRACO NEU2140GK (R404A/R507 LBP);125.00;Embraco;Kompresörler;compressor;605256;8.78
582;EMBRACO NEK2150GK (R404A/R507 LBP);130.00;Embraco;Kompresörler;compressor;605186;12.12
583;EMBRACO NEU2155GK (R404A/R507 LBP);130.00;Embraco;Kompresörler;compressor;LF3070324;12.12
584;EMBRACO NEK2168GK (R404A/R507 LBP);140.00;Embraco;Kompresörler;compressor;605144;14.30
585;EMBRACO NEU2168GK (R404A/R507 LBP);140.00;Embraco;Kompresörler;compressor;LF3070299;14.30
586;EMBRACO NT2168GK (R404A/R507 LBP);140.00;Embraco;Kompresörler;compressor;605304;14.50
587;EMBRACO NEU2178GK (R404A/R507 LBP);210.00;Embraco;Kompresörler;compressor;605164;16.80
588;EMBRACO NT2178GK (R404A/R507 LBP);210.00;Embraco;Kompresörler;compressor;LF3070169;17.40
589;EMBRACO NT2180GK (R404A/R507 LBP);210.00;Embraco;Kompresörler;compressor;605078;20.40
590;EMBRACO NT2192GK (R404A/R507 LBP);76.43;Embraco;Kompresörler;compressor;605260;1.1
591;EMBRACO NJ2192GJ (R404A/R507 LBP);76.43;Embraco;Kompresörler;compressor;605174;1.2
592;EMBRACO NJ2192GK (R404A/R507 LBP);76.43;Embraco;Kompresörler;compressor;LF3070257;1.2
593;EMBRACO NT2212GK (R404A/R507 LBP);76.43;Embraco;Kompresörler;compressor;605235;1.3
594;EMBRACO NJ2212GK (R404A/R507 LBP);76.43;Embraco;Kompresörler;compressor;605081;1.7
595;EMBRACO NJ2212GS (R404A/R507 LBP);210.00;Embraco;Kompresörler;compressor;LF3070047;34.37
596;EMBRACO EMT6144GK (R404A/R507 HMBP);85.00;Embraco;Kompresörler;compressor;605130;3.97
597;EMBRACO EMT6152GK (R404A/R507 HMBP);105.00;Embraco;Kompresörler;compressor;605004;4.50
598;EMBRACO NEK6144GK (R404A/R507 HMBP);90.00;Embraco;Kompresörler;compressor;605149;4.52
599;EMBRACO EMT6165GK (R404A/R507 HMBP);102.80;Embraco;Kompresörler;compressor;605139;5.20
600;EMBRACO NEK6165GK (R404A/R507 HMBP);95.00;Embraco;Kompresörler;compressor;605309;6.20
601;EMBRACO NEK6181GK (R404A/R507 HMBP);115.00;Embraco;Kompresörler;compressor;605162;7.28
602;EMBRACO NEK6210GK (R404A/R507 HMBP);125.00;Embraco;Kompresörler;compressor;605161;8.78
603;EMBRACO NEU6212GK (R404A/R507 HMBP);125.00;Embraco;Kompresörler;compressor;LF3070331;8.78
604;EMBRACO NEU6215GK (R404A/R507 HMBP);130.00;Embraco;Kompresörler;compressor;LF3070330;12.12
605;EMBRACO NT6217GK (R404A/R507 HMBP);130.00;Embraco;Kompresörler;compressor;LF3070191;12.60
606;EMBRACO NEK6217GK (R404A/R507 HMBP);140.00;Embraco;Kompresörler;compressor;605178;14.30
607;EMBRACO NT6220GK (R404A/R507 HMBP);140.00;Embraco;Kompresörler;compressor;605227;14.50
608;EMBRACO NT6222GK (R404A/R507 HMBP);210.00;Embraco;Kompresörler;compressor;605132;17.40
609;EMBRACO NT6224GK (R404A/R507 HMBP);210.00;Embraco;Kompresörler;compressor;LF3070274;20.44
610;EMBRACO NT6226GK (R404A/R507 HMBP);76.43;Embraco;Kompresörler;compressor;605165;1.1
611;EMBRACO NJ9226GK (R404A/R507 HMBP);76.43;Embraco;Kompresörler;compressor;605030;1.1
612;EMBRACO NJ9232GK (R404A/R507 HMBP);76.43;Embraco;Kompresörler;compressor;605190;1.2
613;EMBRACO S0208393 (R404A/R507 HMBP);76.43;Embraco;Kompresörler;compressor;;1.2
614;EMBRACO NJ9238GK (R404A/R507 HMBP);76.43;Embraco;Kompresörler;compressor;605177;1.5
615;EMBRACO EMT2117U (R290 LBP);105.00;Embraco;Kompresörler;compressor;LF3070270;4.50
616;EMBRACO EM2X1121U (R290 LBP);125.00;Embraco;Kompresörler;compressor;605344;5.54
617;EMBRACO EMT2121U (R290 LBP);125.00;Embraco;Kompresörler;compressor;605215;5.56
618;EMBRACO EMT2125U (R290 LBP);95.00;Embraco;Kompresörler;compressor;LF3070267;5.96
619;EMBRACO EMT2130U (R290 LBP);100.00;Embraco;Kompresörler;compressor;605346;6.76
620;EMBRACO NEK2134U (R290 LBP);125.00;Embraco;Kompresörler;compressor;605274;9.99
621;EMBRACO NEK2150U (R290 LBP);195.00;Embraco;Kompresörler;compressor;605214;13.54
622;EMBRACO NEU2155U (R290 LBP);195.00;Embraco;Kompresörler;compressor;605243;13.54
623;EMBRACO NEK2160U (R290 LBP);210.00;Embraco;Kompresörler;compressor;605204;16.80
624;EMBRACO NEU2168U (R290 LBP);210.00;Embraco;Kompresörler;compressor;LF3070301;16.80
625;EMBRACO NEU2178U (R290 LBP);210.00;Embraco;Kompresörler;compressor;LF3070487;18.70
626;EMBRACO NT2170U (R290 LBP);210.00;Embraco;Kompresörler;compressor;605202;20.44
627;EMBRACO NT2180U (R290 LBP);210.00;Embraco;Kompresörler;compressor;605199;22.37
628;EMBRACO NT2210U (R290 LBP);210.00;Embraco;Kompresörler;compressor;605203;27.80
629;EMBRACO NTX2213U (R290 LBP);210.00;Embraco;Kompresörler;compressor;LF3070515;33.42
630;EMBRACO EMT6144U (R290 HMBP);105.00;Embraco;Kompresörler;compressor;605200;4.50
631;EMBRACO EMT6152U (R290 HMBP);98.00;Embraco;Kompresörler;compressor;605201;5.19
632;EMBRACO NEK6152U (R290 HMBP);125.00;Embraco;Kompresörler;compressor;LF3070485;5.44
633;EMBRACO EMT6165U (R290 HMBP);95.00;Embraco;Kompresörler;compressor;605198;5.96
634;EMBRACO NEK6165U (R290 HMBP);95.00;Embraco;Kompresörler;compressor;LF3070486;6.20
635;EMBRACO NEK6181U (R290 HMBP);115.00;Embraco;Kompresörler;compressor;LF3070265;7.28
636;EMBRACO NEK6210U (R290 HMBP);125.00;Embraco;Kompresörler;compressor;LF3070273;8.77
637;EMBRACO NEU6210U (R290 HMBP);125.00;Embraco;Kompresörler;compressor;LF3070310;8.77
638;EMBRACO NEU6212U (R290 HMBP);125.00;Embraco;Kompresörler;compressor;LF3070333;9.99
639;EMBRACO NEK6213U (R290 HMBP);201.18;Embraco;Kompresörler;compressor;605305;12.11
640;EMBRACO NEU6214U (R290 HMBP);201.18;Embraco;Kompresörler;compressor;LF3070302;12.11
641;EMBRACO NEU6217U (R290 HMBP);195.00;Embraco;Kompresörler;compressor;LF3070303;14.28
642;EMBRACO NEU6220U (R290 HMBP);210.00;Embraco;Kompresörler;compressor;LF3070411;16.80
643;EMBRACO NT6220U (R290 HMBP);210.00;Embraco;Kompresörler;compressor;LF3070304;17.39
644;EMBRACO NT6222U (R290 HMBP);210.00;Embraco;Kompresörler;compressor;605331;20.44
645;EMBRACO NT6224U (R290 HMBP);210.00;Embraco;Kompresörler;compressor;LF3070306;22.37
646;EMBRACO NT6230U (R290 HMBP);210.00;Embraco;Kompresörler;compressor;LF3070307;27.80
647;EMBRACO NTX6238U (R290 HMBP);210.00;Embraco;Kompresörler;compressor;LF3070516;33.42
648;EMBRACO EMT30CDP (R600A HMBP);105.00;Embraco;Kompresörler;compressor;605083;4.50
649;EMBRACO EMU5132Y (R600A HMBP);100.00;Embraco;Kompresörler;compressor;605085;6.76
650;EMBRACO EMT6144Y (R600A HMBP);125.00;Embraco;Kompresörler;compressor;LF3070359;9.04
651;EMBRACO NEK6160Y (R600A HMBP);201.18;Embraco;Kompresörler;compressor;605248;12.11
652;EMBRACO NEK6170Y (R600A HMBP);195.00;Embraco;Kompresörler;compressor;LF3070360;14.28
653;EMBRACO EMX26CLC (R600A LBP);98.00;Embraco;Kompresörler;compressor;LF3070377;5.19
654;EMBRACO EMX32CLC (R600A LBP);95.00;Embraco;Kompresörler;compressor;605315;5.96
655;EMBRACO EMC40CLT (R600A LBP);115.00;Embraco;Kompresörler;compressor;605316;7.23
656;EMBRACO EMD46CLT (R600A LBP);105.00;Embraco;Kompresörler;compressor;605257;7.96
657;EMBRACO EMX55CLC (R600A LBP);125.00;Embraco;Kompresörler;compressor;605247;9.04
658;EMBRACO EMY3118Y (R600A LBP);130.00;Embraco;Kompresörler;compressor;LF5163745;12.21
659;EMBRACO EMX80CLT (R600A LBP);130.00;Embraco;Kompresörler;compressor;LF3070255;12.21
660;SECOP TL4G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605123;3.86
661;SECOP TL5G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605052;5.10
662;SECOP NL6.1MF (R134A HMBP);140.00;Secop;Kompresörler;compressor;605059;6.13
663;SECOP FR6G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605055;6.23
664;SECOP FR7.5G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605088;6.93
665;SECOP NL7.3MF (R134A HMBP);140.00;Secop;Kompresörler;compressor;605063;7.27
666;SECOP FR8.5G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605091;7.95
667;SECOP NL8.4MF (R134A HMBP);140.00;Secop;Kompresörler;compressor;605089;8.35
668;SECOP FR10G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605054;9.05
669;SECOP FR11G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605205;11.15
670;SECOP NL10MF (R134A HMBP);140.00;Secop;Kompresörler;compressor;605060;10.10
671;SECOP SC10G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605221;10.29
672;SECOP NL11MF (R134A HMBP);140.00;Secop;Kompresörler;compressor;605193;11.15
673;SECOP SC12G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605087;12.87
674;SECOP SC15G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605077;15.28
675;SECOP SC18G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605076;17.69
676;SECOP SC18MFX (R134A HMBP);140.00;Secop;Kompresörler;compressor;LF3070349;17.69
677;SECOP SC21G (R134A HMBP);140.00;Secop;Kompresörler;compressor;605194;20.95
678;SECOP SC21MFX (R134A HMBP);140.00;Secop;Kompresörler;compressor;LF7112530;20.95
679;SECOP GS26MFX (R134A HMBP);140.00;Secop;Kompresörler;compressor;LF3070358;26.30
680;SECOP GS34MFX (R134A HMBP);140.00;Secop;Kompresörler;compressor;LF5064841;33.80
681;SECOP TL4CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070350;3.86
682;SECOP TL4.5CLX (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070289;4.63
683;SECOP FR6CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070214;6.23
684;SECOP FR7.5CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070280;6.93
685;SECOP NL7CLX (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070348;7.27
686;SECOP FR8.5CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605080;7.95
687;SECOP NL8.4CLX (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070344;8.35
688;SECOP SC10CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070159;10.29
689;SECOP SC10CLX (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605179;10.29
690;SECOP SC12CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605057;12.87
691;SECOP SC15CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605058;15.28
692;SECOP SC15CLX.2 (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605330;15.28
693;SECOP SC18CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605303;17.69
694;SECOP SC18CLX.2 (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605056;17.68
695;SECOP SC21CL (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;605082;20.95
696;SECOP GS26CLX (R404A/R507 LBP);140.00;Secop;Kompresörler;compressor;LF3070356;1.2
697;SECOP FR6DL (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;LF5076895;6.23
698;SECOP NF7MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;LF3070361;7.27
699;SECOP SC10MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;LF3070353;10.29
700;SECOP SC12MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;605336;12.87
701;SECOP SC15MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;605146;15.28
702;SECOP SC18MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;LF3070355;17.68
703;SECOP SC18MLX.3 (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;605113;17.68
704;SECOP GS21MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;LF3070354;21.20
705;SECOP GS26MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;LF2106262;1.2
706;SECOP GS34MLX (R404A/R507 HMBP);140.00;Secop;Kompresörler;compressor;LF3070357;1.5
707;SECOP TL5CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605259;5.08
708;SECOP NL7CN (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070335;7.27
709;SECOP NL9CN (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070336;8.35
710;SECOP NLE11CNL (R290 LBP);140.00;Secop;Kompresörler;compressor;605349;11.15
711;SECOP NLE12.6CNL (R290 LBP);140.00;Secop;Kompresörler;compressor;605352;12.55
712;SECOP SC12CNX.2 (R290 LBP);140.00;Secop;Kompresörler;compressor;605261;12.87
713;SECOP SC15CNX.2 (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070329;15.28
714;SECOP SC18CNX.2 (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070308;17.69
715;SECOP SC21CNX.2 (R290 LBP);140.00;Secop;Kompresörler;compressor;605267;20.95
716;SECOP DLE4CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605350;4.00
717;SECOP DLE4.8CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605268;4.80
718;SECOP DLE5.7CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605347;5.70
719;SECOP DLE6.5CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605269;6.50
720;SECOP DLE7.5CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605353;7.48
721;SECOP NLE8.8CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605348;8.76
722;SECOP NLE10CN (R290 LBP);140.00;Secop;Kompresörler;compressor;605359;10.09
723;SECOP SECOP DLV4.0CN (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070496;4.00
724;SECOP SECOP DLV5.7CN (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070497;5.70
725;SECOP SECOP NLV12.6CN (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070500;12.6
726;SECOP SECOP SLVE18CN (R290 LBP);140.00;Secop;Kompresörler;compressor;LF3070498;17.70
727;SECOP PTC starting device;140.00;Secop;Kompresörler;compressor;381087;
